,0
1198,Kevin Brito
1199,Kevin Kiley
1200,Kevin Kniffin
1201,Kevin S Chan
1202,Keyon Vafa
1203,Khyati Mahajan
1204,Kieran Mepham
1205,Kimitaka Asatani
1206,King-wa Fu
1207,Kinga Makovi
1208,Kira von Kleist
1209,Kiran Garimella
1210,Kiran Lakkaraju
1211,Kiran Sharma
1212,Kirill Martynov
1213,Kirk Bansak
1214,Kirsty Phillips
1215,Kiyoshi Kanazawa
1216,Kleber Oliveira
1217,Koen Schoors
1218,Kokil Jaidka
1219,Komal Florio
1220,Kongmeng Liew
1221,Konstantin Pogorelov
1222,Kornraphop Kawintiranon
1223,Kostas Stathoulopoulos
1224,Kowe Kadoma
1225,Krish Perumal
1226,Krishnaprasad Thirunarayan
1227,Kriste Krstovski
1228,Kristen Altenburger
1229,Kristen Bell
1230,Kristen Flaherty
1231,Kristen M. Altenburger
1232,Kristina Gligoric
1233,Kristina Gligorić
1234,Kristina Lerman
1235,Krisztian Varga
1236,Krisztián Boros
1237,Ksenia Mukhina
1238,Kuansan Wang
1239,Kunhao Yang
1240,Kunihiko Kaneko
1241,Kunihiro Miyazaki
1242,Kunwoo Park
1243,Kush R. Varshney
1244,Kushan Dasgupta
1245,Kwun Hang Lai
1246,Kyle Chard
1247,Kyriacos Vitalis
1248,Kyriaki Kalimeri
1249,Laia Domenech Burin
1250,Laila Wahedi
1251,Laiyang Ke
1252,Lakshmi Subramanian
1253,Lakshminarayanan Subramanian
1254,Lan Jiang
1255,Lan Luo
1256,Lana Bilalova
1257,Lana El Sanyoura
1258,Lana Sanyoura
1259,Lanu Kim
1260,Lara Lofdahl
1261,Lara Yang
1262,Laroyce Covington
1263,Laszlo Lorincz
1264,Launy Schweiger
1265,Laura Alessandretti
1266,Laura Hernandez
1267,Laura Hernández
1268,Laura Laugwitz
1269,Laura W. Dozal
1270,Laurence Brandenberger
1271,Laurent Cordonier
1272,Lea Brandt
1273,Leah Keating
1274,Leah Rosenzweig
1275,Leib Margarita
1276,Leila Zia
1277,Lena Clever
1278,Lena Frischlich
1279,Leo Bauer
1280,Leo Ferres
1281,Leonardo Ferreira
1282,Leonardo Nicoletti
1283,Leonie Neuhäuser
1284,Leopele Raabe
1285,Leping Wang
1286,Leroux Alexandre
1287,Leslie Dechurch
1288,Leto Peel
1289,Lev Manovich
1290,Levin Brinkmann
1291,Lewis Mitchell
1292,Lia Bozarth
1293,Liangwei Chen
1294,Likun Cao
1295,Lili Aunimo
1296,Lili Miao
1297,Lillio Mok
1298,Lin Wang
1299,Lina Ramos
1300,Ling Dong
1301,Ling Xue
1302,Lingfei Wu
1303,Linzhuo Li
1304,Lionel Robert
1305,Lisa Friedland
1306,Lisa Merten
1307,Lisa Oswald
1308,Lisa Singh
1309,Lise Getoor
1310,Lisette Espin Noboa
1311,Lisette Espín Noboa
1312,Liubov Tupikina
1313,Lizhen Liang
1314,Ljubica Nedelkoska
1315,Lluc Font-Pomarol
1316,Lluis Danus
1317,Longqi Yang
1318,Lorena Cano-Orón
1319,Lorena Reintgen
1320,Lorenzo Gabrielli
1321,Lorenzo Lucchini
1322,Lorien Jasny
1323,Loris Millet
1324,Louis Shekhtman
1325,Lu Liu
1326,Lu Ou
1327,Lu Xian
1328,Luca Aiello
1329,Luca Belli
1330,Luca Carbone
1331,Luca Flóra Drucker
1332,Luca Maria Aiello
1333,Luca Maria Pesando
1334,Luca Pappalardo
1335,Luca Rossi
1336,Luca Verginer
1337,Lucas Böttcher
1338,Lucas Maystre
1339,Lucas Van Straalen
1340,Lucas Van der Meer
1341,Luce Le Gorrec
1342,Lucia Falzon
1343,Ludovico Napoli
1344,Luis Amaral
1345,Luis E C Rocha
1346,Luis Luque
1347,Luisa Fernanda Chaparro
1348,Lukas Fervers
1349,Lukas Richter
1350,Lukas Vermeer
1351,Luke Archer
1352,Luke Dickens
1353,Lulu Peng
1354,Luning Sun
1355,Luping Wang
1356,Lushi Chen
1357,Luz Angela Narvaez
1358,Luís A. Nunes Amaral
1359,Ly Dinh
1360,Lydia Hayward
1361,Lydia Stone
1362,Lília Perfeito
1363,Maayan Levinson
1364,Madalina Sas
1365,Maddalena Torricelli
1366,Madeline Schiappa
1367,Madhav Joshi
1368,Mads Kock Pedersen
1369,Magdalena Wojcieszak
1370,Mahasweta Chakraborti
1371,Mahmood Shafeie Zargar
1372,Mahnaz Roshanaei
1373,Maneet Singh
1374,Manfred Schoch
1375,Maninder Kalra
1376,Manlio De Domenico
1377,Manoel Horta Ribeiro
1378,Manoel Ribeiro
1379,Manon Berriche
1380,Manon Revel
1381,Mansi Sharma
1382,Manuel Cebrian
1383,Manuel Garcia
1384,Manuel Garcia Herranz
1385,Manuel Herranz
1386,Manuel Tonneau
1387,Marc G. Berman
1388,Marc Keuschnigg
1389,Marc Maier
1390,Marc Rauckhorst
1391,Marc-Etienne Brunet
1392,Marc-Philipp Bittner
1393,Marcin Waniek
1394,Marco Brambilla
1395,Marco Civico
1396,Marco De Nadai
1397,Marco Fiore
1398,Marco Gramaglia
1399,Marco Nadai
1400,Marco Valtorta
1401,Margaret Hu
1402,Margherita Ricotti
1403,Maria Alexeeva
1404,Maria Bolsinova
1405,Maria Eskevich
1406,Maria Sahakyan
1407,Maria Schuld
1408,Maria Teresa Pulido
1409,Maria V. Ruiz-Blondet
1410,Maria del Rio Chanona
1411,Mariano Beguerisse-diaz
1412,Mariano G. Beiró
1413,Marie Puren
1414,Marija Mitrović Dankulov
1415,Marijn Ten Thij
1416,Mariko Ito
1417,Marina Diakonova
1418,Marina Kogan
1419,Marina Mancoridis
1420,Marinette Savonnet
1421,Mario Castro
1422,Mario Gutierrez-roig
1423,Mario Klingemann
1424,Mario Molina
1425,Mario Sainz
1426,Marios Dikaiakos
1427,Marius Sältzer
1428,Mark E. Whiting
1429,Mark Graus
1430,Mark Levene
1431,Mark Levine
1432,Mark Sutcliffe
1433,Mark Trappmann
1434,Mark Whiting
1435,Mark van der Loo
1436,Marko Tesic
1437,Markus Hadler
1438,Markus Mobius
1439,Markus Reiter-Haas
1440,Markus Strohmaier
1441,Marlene Koffi
1442,Marlene Lutz
1443,Marloes Hagens
1444,Marloes Maathuis
1445,Marta Rivera-Alba
1446,Marta Sales-Pardo
1447,Marten Borchers
1448,Martijn Schoonvelde
1449,Martin Bekker
1450,Martin Emmer
1451,Martin Hilbert
1452,Martin Koenen
1453,Martin Lukac
1454,Martin Novák
1455,Martin Saveski
1456,Martina Szabo
1457,Martina Testori
1458,Marton Karsai
1459,Martyn Harris
1460,Mary Czerwinski
1461,Mary Elizabeth Sutherland
1462,Mary Sanford
1463,María Reneses Botija
1464,María Riberas-Gutiérrez
1465,Masahiro Kazama
1466,Masanori Takano
1467,Masashi Miura
1468,Masashi Toyoda
1469,Masha Krupenkin
1470,Masi Noor
1471,Masoomali Fatehkia
1472,Massimiliano Luca
1473,Massimo Riccaboni
1474,Matej Novak
1475,Mathew Hardy
1476,Matias Travizano
1477,Matija Franklin
1478,Matt Groh
1479,Matt Marx
1480,Matteo Bohm
1481,Matteo Chiesa
1482,Matteo Gagliolo
1483,Matteo Magnani
1484,Matteo Mazzamurro
1485,Matthew Burgess
1486,Matthew DeVerna
1487,Matthew Edwards
1488,Matthew Groh
1489,Matthew R. Deverna
1490,Matthew Sweitzer
1491,Matthew Turner
1492,Matthew Wigginton Bhagat-Conway
1493,Matthewhew Baum
1494,Matthewhew Jones
1495,Matthewhew Roughan
1496,Matthewhew Turner
1497,Matthewhieu Nadini
1498,Matthewo Mildenberger
1499,Matthieu Nadini
1500,Matti Nelimarkka
1501,Mattia Gasparini
1502,Mattia Samory
1503,Maurice Jakesch
1504,Maurice Pitesky
1505,Mauricio Barahona
1506,Mauricio Gruppi
1507,Maurizio Porfiri
1508,Max Falkenberg
1509,Max Pellert
1510,Max Schindler
1511,Maxim Sytch
1512,Maxime Peyrard
1513,Maxime Stauffer
1514,Maximilian Schich
1515,Maximilian Spliethöver
1516,Maxwell Aliapoulios
1517,Maya Bogers
1518,Maya Josifovska
1519,Mazen Fouad A-Wali Mahdi
1520,Meena Balan
1521,Meeyoung Cha
1522,Mehdi Moussaid
1523,Mehrzad Shadmangohar
1524,Mehwish Nasim
1525,Melanie Sage
1526,Melody Sepahpour-Fard
1527,Mengjie Cheng
1528,Meny Metekia
1529,Meysam Alizadeh
1530,Micah Epstein
1531,Michael Arnold
1532,Michael Bailey
1533,Michael Bernstein
1534,Michael Boissonneault
1535,Michael Hoefer
1536,Michael Inzlicht
1537,Michael Macy
1538,Michael Quayle
1539,Michael Reiss
1540,Michael Ribers
1541,Michael S. Bernstein
1542,Michael Schaub
1543,Michael Schultz
1544,Michael Smith
1545,Michael Sverdlov
1546,Michaela Maier
1547,Michal Bilewicz
1548,Micheal Szell
1549,Michela Natilli
1550,Michele Catasta
1551,Michele Coscia
1552,Michelle Bak
1553,Michelle N. Meyer
1554,Michiel Bakker
1555,Michio Hosaka
1556,Miguel Guevara
1557,Mihai Avram
1558,Mikaela Irene Fudolig
1559,Mike Yeomans
1560,Mikhail Sirenko
1561,Mikhail Sirkenko
1562,Mikhail Sokolov
1563,Mikihito Tanaka
1564,Mikolaj Biesaga
1565,Milad Abbasiharofteh
1566,Milan Babic
1567,Milan Janosov
1568,Milan van den Heuvel
1569,Milena Tsvetkova
1570,Milo Trujillo
1571,Min Gong
1572,MinJung Park
1573,Minali Aggarwal
1574,Ming Xiao
1575,Minje Choi
1576,Minnie Quartey
1577,Mir Majid Molaie
1578,Mircea Gherghina
1579,Mirco Nanni
1580,Miriam Hurtado Bodell
1581,Miriam Koschate
1582,Miriam Koschate-reis
1583,Miriam Redi
1584,Mirko Reul
1585,Miroslav Palanský
1586,Mirta Galesic
1587,Misha Teplitskiy
1588,Mitsuo Yoshida
1589,Moena Hashimoto
1590,Moh Hosseinioun
1591,Mohamad Hosseinioun
1592,Mohammad Amin
1593,Mohammad Amin Sadeghi
1594,Mohammad Rasoolinejad
1595,Mohammed Aleinzi
1596,Mohsen Bahrami
1597,Mohsen Mosleh
1598,Mohsen Sayyadiharikandeh
1599,Molly J. Crockett
1600,Molly King
1601,Mona Zubaidi
1602,Monica Alexander
1603,Monica Bhole
1604,Monica Lee
1605,Monica Menendez
1606,Mooyeol Oh
1607,Mor Naaman
1608,Morgan Frank
1609,Morgan R. Frank
1610,Moritz Hoferer
1611,Moritz Laurer
1612,Moritz Müller
1613,Morteza Dehghani
1614,Morteza Maleki
1615,Moumena Chaqfeh
1616,Mounia Lalmas
1617,Mu-jung Cho
1618,Mucahid Kutlu
1619,Muhammad Fareed Zaffar
1620,Munif Mujib
1621,Munmun Choudhury
1622,Munther Dahleh
1623,Muyang Li
1624,Mykola Makhortykh
1625,Myung Cho
1626,Márcio Ribeiro
1627,Márton Karsai
1628,Márton Rakovics
1629,Måns Magnusson
1630,N'Godjigui Junior Diarrassouba
1631,Nabeel Gillani
1632,Nadezhda Sokolova
1633,Nadia Metoui
1634,Nak Won Rim
1635,Nan Zhang
1636,Naoki Maejima
1637,Narayanamoorthy Nanditha
1638,Narges Azizi Fard
1639,Naseem Makiya
1640,Nat Gyenes
1641,Natalie Gallagher
1642,Nathan Hughes
1643,Nathan Teblunthuis
1644,Nathante Teblunthuis
1645,Navid Madani
1646,Nazanin Alipourfard
1647,Nazli Choucri
1648,Neda Paryab
1649,Neil Johnson
1650,Nereida Bueno-Guerra
1651,Niccolo Pescetelli
1652,Niccolo di Marco
1653,Niccolò Pescetelli
1654,Nichola Raihani
1655,Nicholas Beauchamp
1656,Nicholas Diakopoulos
1657,Nicholas Gabriel
1658,Nicholas Hagar
1659,Nicholas Johnson
1660,Nicholas Johnson-restrepo
1661,Nicholas LaBerge
1662,Nicholas Perello
1663,Nicholas Vincent
1664,Nick Allum
1665,Nick Cheney
1666,Nick Hagar
1667,Nick Jones
1668,Nick McKeown
1669,Nick Obradovich
1670,Nico Clever
1671,Nicola Castaldo
1672,Nicolas Cointe
1673,Nicolas Pares
1674,Nicolas Velasquez
1675,Nicolas Velazquez-hernandez
1676,Nicole B. Carnegie
1677,Nicole Iturriaga
1678,Nicole Nisbett
1679,Nicolo Cavalli
1680,Nicos Nicolaou
1681,Nik Lomax
1682,Niklas Dorner
1683,Nikolas Zoeller
1684,Nikolaus Parulian
1685,Nilam Ram
1686,Nils Köbis
1687,Nima Dehmamy
1688,Nina Mazar
1689,Nina Savela
1690,Nir Grinberg
1691,Niraj Sitaula
1692,Nishanth Sastry
1693,Nitin Agarwal
1694,Nitin Bhushan
1695,Nora Ammann
1696,Norman Fiedler
1697,Noshir Contractor
1698,Noshir S. Contractor
1699,Nour Kteily
1700,Nozomi Okano
1701,Nuno Araujo
1702,Nupur Baghel
1703,Oana Andrei
1704,Oana Vuculescu
1705,Oceane Boulais
1706,Oh-Hyun Kwon
1707,Olga Silyutina
1708,Oliver Melbourne Allen
1709,Oliver Wieczorek
1710,Ollin Langle
1711,Omar A. Guerrero
1712,Omar Guerrero
1713,Omer Faruk Metin
1714,Omkar Terse
1715,Onur Varol
1716,Onyi Lam
1717,Oral Okan
1718,Orestes P. Hastings
1719,Orestis Papakyriakopoulos
1720,Oriol Artime
1721,Orsolya Ring
1722,Orsolya Vasarhelyi
1723,Orsolya Vásárhelyi
1724,Osbert Bastani
1725,Ovidia Stanoi
1726,Ozan Aksoy
1727,P
1728,P Kumar Sachin
1729,Pablo Flores
1730,Pablo Geraldo
1731,Pablo Lozano
1732,Pacheco Diogo
1733,Pakapol Supaniratisai
1734,Panni Vancsó
1735,Panos Ipeirotis
1736,Paolo Bajardi
1737,Paolo Parigi
1738,Paramveer Dhillon
1739,Parizad Bahardoost
1740,Park Sinchaisri
1741,Parrish Bergquist
1742,Pascal Jollivet
1743,Pascal Van Hentenryck
1744,Pat Pataranutaporn
1745,Patrick Forber
1746,Patrick Heck
1747,Patrick Park
1748,Patrick Wolf
1749,Pattie Maes
1750,Paul Bouman
1751,Paul Expert
1752,Paul Grassl
1753,Paul Guille-escuret
1754,Paul Resnick
1755,Paul Röttger
1756,Paul Smaldino
1757,Paul Vicinanza
1758,Peaks Krafft
1759,Pedro Morales
1760,Pedro Ramaciotti Morales
1761,Pedro Rio
1762,Pei Zhou
1763,Pelin Bicen
1764,Penny Mealy
1765,Pete Barbrook-Johnson
1766,Peter Dodds
1767,Peter Kerkhof
1768,Peter Klimek
1769,Peter Kraft
1770,Peter Much
1771,Peter Organisciak
1772,Petr Janský
1773,Petra Filkukova
1774,Petter Holme
1775,Petter Tornberg
1776,Petter Törnberg
1777,Philip Borgmann
1778,Philipp Kling
1779,Philipp Lorenz-Spreen
1780,Phoebe Yao
1781,Pierluigi Sacco
1782,Pierre Boyer
1783,Pietro Panzarasa
1784,Pietro Rampazzo
1785,Pik-Mai Hui
1786,Pik-mai Hui
1787,Pingjing Yang
1788,Piyush Ghasiya
1789,Pj Lamberson
1790,Polina Mosolova
1791,Polina Revina
1792,Poong Oh
1793,Pourya Toranj Simin
1794,Prakash Manandhar
1795,Prakruti Singh Thakur
1796,Prasanna Parasurama
1797,Priscilla Wong
1798,Priyam Bansal
1799,Priyanka Nanayakkara
1800,Prof Levene
1801,Przemyslaw Grabowicz
1802,Pui Yin Cheung
1803,Punyajoy Saha
1804,Pursey Heugens
1805,Pushkal Agarwal
1806,Qi Hao
1807,Qian Liu
1808,Qiankun Zhong
1809,Qiaozhu Mei
1810,Qin Lv
1811,Qing Jin
1812,Qing Ke
1813,Qinghua Li
1814,Qinghua Yang
1815,Qingtao Cao
1816,Qiusi Sun
1817,Qiwei Han
1818,Quinten Meertens
1819,R. Rio-chanona
1820,Rachel Crookes
1821,Rachel Kim
1822,Rachel de Jong
1823,Rachith Aiyappa
1824,Rada Mihalcea
1825,Radim Hladik
1826,Radim Hladík
1827,Radomir Perzina
1828,Rainer Rilke
1829,Raj Chetty
1830,Rakibul Islam
1831,Ralf Kurvers
1832,Ralph Hertwig
1833,Ramaswami Mahalingam
1834,Ramon Gras
1835,Ramon Villa-Cox
1836,Ramona Roller
1837,Rasmus Beckmann
1838,Rebecca Williams
1839,Rebekah Overdorf
1840,Rebekah Tromble
1841,Rediet Abebe
1842,Reham Al Tamime
1843,Reid McIlroy-Young
1844,Reid Mcilroy-young
1845,Renata Nemeth
1846,Rene Kizilcec
1847,Reneses Botija
1848,Renita Murimi
1849,Rense Corten
1850,Renzhe Yu
1851,Renáta Németh
1852,Renáta Topinková
1853,Reza Babaei
1854,Rezvaneh Rezapour
1855,Rhys Leahy
1856,Ricarda Schafer
1857,Riccardo Gallotti
1858,Richard Everson
1859,Richard Mann
1860,Richard Mole
1861,Richard Zemel
1862,Ridhi Kashyap
1863,Rik Crutzen
1864,Rinat Sergeev
1865,Rishabh Mehrotra
1866,Rishemjit Kaur
1867,Risto Conte Keivabu
1868,Ritesh Kumar
1869,Rob Churchill
1870,Robb Willer
1871,Robert Danziger
1872,Robert Eyre
1873,Robert Laubacher
1874,Robert Mahari
1875,Robert Stelter
1876,Robert Ulman
1877,Robert West
1878,Robin Engelhardt
1879,Rod Abhari
1880,Rodrigo Costas
1881,Roger Cremades
1882,Roger Guimera
1883,Roger Guimerà
1884,Rohail Asim
1885,Rohan Joseph
1886,Roland Filippi
1887,Roland Toth
1888,Roland von Horn
1889,Ronan McCarthy
1890,Rory Smead
1891,Rosa Alberto
1892,Rosa Benito
1893,Rosa M. Benito
1894,Rosalind Picard
1895,Roshan Santhosh
1896,Roshi Nateghi
1897,Rossano Schifanella
1898,Ruben Bach
1899,Ruilin Chen
1900,Ruohuang Jiao
1901,Russell Wang
1902,Ryan Callahan
1903,Ryan Gallagheer
1904,Ryan Langendorf
1905,Ryan Skorupski
1906,Ryan Whalen
1907,Ryen W White
1908,Ryen White
1909,Ryo Hamawaki
1910,Ryota Kobayashi
1911,Rémi Perrier
1912,S R
1913,Saban Kardas
1914,Sabin Roman
1915,Sabina Hartnett
1916,Sabine Brunswicker
1917,Sachita Nishal
1918,Sadamori Kojaku
1919,Sadamori Koujaku
1920,Sagar Kumar
1921,Sahil Loomba
1922,Sahiti Sarva
1923,Sairam Gurajada
1924,Sallie Gregson
1925,Salome Aguilar
1926,Salvatore Giorgi
1927,Salvatore Rinzivillo
1928,Sam Fankhauser
1929,Sam Zhang
1930,Samar Haider
1931,Sameer Srivastava
1932,Samin Aref
1933,Samuel Fraiberger
1934,Samuel Johnson
1935,Samuel Martin-Gutierrez
1936,Samuel Martin-gutierrez
1937,Samuel Way
1938,Samuel Woolley
1939,Samuli Reijula
1940,Sanaz Mobasseri
1941,Sandeep Soni
1942,Sandipan Sikdar
1943,Sandor Lera
1944,Sandra Gonzalez-Bailon
1945,Sandra Wankmüller
1946,Sandro Lera
1947,Sandy Pentland
1948,Sang Hoon Lee
1949,Sang Lee
1950,Sang Won Lee
1951,Sang Yup Lee
1952,Sanguk Lee
1953,Sanna Ojanperä
1954,Santo Fortunato
1955,Sara Mesquita
1956,Sarah Bolden
1957,Sarah H. Bana
1958,Sarah Rezaei
1959,Saranzaya Magsarjav
1960,Sasha Nanda
1961,Satyam Mukherjee
1962,Saumya Bhadani
1963,Saurabh Khanna
1964,Savvas Zannettou
1965,Sayan Ghosh
1966,Sayash Kapoor
1967,Scott Cunningham
1968,Scott Hale
1969,Scott Pauls
1970,Sean Fischer
1971,Sean Rintel
1972,Sebastian Bahr
1973,Sebastian Muller
1974,Sebastian Munoz-Najar Galvez
1975,Sebastian Munoz-najar
1976,Sebastian Steffen
1977,Sebastian Stier
1978,Selen Turkay
1979,Selim Balcisoy
1980,Selin Koksal
1981,Senling Shu
1982,Seokyoung Min
1983,Seolmin Yang
1984,Seonghoon Kim
1985,Serena Jimyn Soh
1986,Serge Sharoff
1987,Sergio Nasarre-Aznar
1988,Serina Chang
1989,Seth Frey
1990,Seth Schimmel
1991,Seungeon Lee
1992,Seyyedmilad Talebzadehhosseini
1993,Shagun Jhaver
1994,Shahan Ali Memon
1995,Shamsi Iqbal
1996,Shan Huang
1997,Shane Johnson
1998,Shankar Kumar
1999,Sharad Goel
2000,Shayne Longpre
2001,Shengchun Huang
2002,Shengjia Zhao
2003,Shi Chong
2004,Shimpei Okuda
2005,Shingo Takahashi
2006,Shirsendu Podder
2007,Shivangi Prasad
2008,Shiyang Lai
2009,Shloak Gupta
2010,Sho Izumo
2011,Shohei Doi
2012,Shohei Usui
2013,Shoko Wakamiya
2014,Shouji Fujimoto
2015,Shuang Zhang
2016,Shubham Annadate
2017,Shubhanshu Mishra
2018,Shuhei Kurizaki
2019,Shujun Li
2020,Shun Yamaya
2021,Shunyuan Zhang
2022,Shuo Zhang
2023,Shweta Chopra
2024,Sian Brooke
2025,Sicheng Dai
2026,Sid Ahmed Benabderrahmane
2027,Siddharth Suri
2028,Siddhartha Sen
2029,Sijia Yang
2030,Sijun He
2031,Silke Adam
2032,Silvia Majo-Vazquez
2033,Simon Chauchard
2034,Simon Dedeo
2035,Simon Hegelich
2036,Simon Hudon
2037,Simon Kuhne
2038,Simon Schweighofer
2039,Simone Centellegher
2040,Simone Lackner
2041,Simone Paolo Ponzetto
2042,Simone Righi
2043,Simone Sebben
2044,Sina Sajjadi
2045,Sinan Aral
2046,Siobhan Grayson
2047,Smriti Singh
2048,Soazic Elise Wang Sonne
2049,Sofia Dokuka
2050,Sohan Dsouza
2051,Sohyeon Hwang
2052,Solomon Messing
2053,Solon Barocas
2054,Song Jiang
2055,Sono Shah
2056,Soo Yeon Kim
2057,Soojong Kim
2058,Sophia Johanna Schlosser
2059,Sophie (Soomin) Cho
2060,Sophie Lohmann
2061,Souad Boumechaal
2062,Sourav Medya
2063,Soyun Ahn
2064,Sreeja Sreekantan Nair
2065,Srikanta Bedathur
2066,Sriram Elango
2067,Stasa Milojevic
2068,Staša Milojević
2069,Stefan Herzog
2070,Stefan McCabe
2071,Stefan Mccabe
2072,Stefan Sarkadi
2073,Stefan Thurner
2074,Stefan Wojcik
2075,Stefania Ionescu
2076,Stefano Balietti
2077,Stefano Carattini
2078,Stefano Ceri
2079,Steffi Kohl
2080,Stephan Günnemann
2081,Stephan Lewandowsky
2082,Stephanie DiPietro
2083,Stephanie Greenberg
2084,Stephany Rajeh
2085,Stephen Davies
2086,Stephen Wiryanidata
2087,Steve Chang
2088,Steve Scheinert
2089,Steven Skiena
2090,Stiene Praet
2091,Stijn Hoorens
2092,Stuart Madnick
2093,Suat Özdemir
2094,Subhayan Mukerjee
2095,Subhro Das
2096,Sudhanshu Mishra
2097,Sujeeta Bhatt
2098,Suman Kalyan Maity
2099,Suman Maity
2100,Sumeet Agarwal
2101,Sumer Vaid
2102,Summer Long
2103,Sunandan Chakraborty
2104,Sundong Kim
2105,Sune Lehmann
2106,Sung-gook Choi
2107,Sungkyu Park
2108,Sungwon Han
2109,Sunje Paasch-colberg
2110,Sunny Rai
2111,Susumu Nagayama
2112,Sven Banisch
2113,Svetlana Zhuchkova
2114,Swati Goel
2115,Syama Gopan
2116,Sydney Wood
2117,Sylvan Zheng
2118,Szilvia Zörgő
2119,Sándor Juhász
2120,Sébastien Lerique
2121,Tabea Haessler
2122,Taha Yasseri
2123,Tai-quan Peng
2124,Taichi Murayama
2125,Taiki Mito
2126,Takaaki Ohnishi
2127,Takahiro Miura
2128,Takahiro Yabe
2129,Takanori Nishida
2130,Takashi Aoki
2131,Takayuki Mizuno
2132,Takayuki Uchiba
2133,Takeshi Sakaki
2134,Talal Rahwan
2135,Talia Kaufmann
2136,Tamara Does
2137,Tamas Tofalvy
2138,Tanujit Chakraborty
2139,Tanvi Anand
2140,Tanya Berger-wolf
2141,Tanzhou Liu
2142,Tao Jia
2143,Tara Sowrirajan
2144,Tarik Roukny
2145,Tarun Jain
2146,Tasi-ching Lu
2147,Tatiana Lau
2148,Tatiana Trifonova
2149,Telmo Menezes
2150,Teodoro Criscione
2151,Teresa Woodruff
2152,Tetsuro Kobayashi
2153,Thayer Alshaabi
2154,Theophile Carniel
2155,Theresa Gessler
2156,Theresa Kuchler
2157,Thierry Poibeau
2158,Thomas Davies
2159,Thomas Delemotte
2160,Thomas F. Müller
2161,Thomas Grund
2162,Thomas Hills
2163,Thomas Niederkrotenthaler
2164,Thomas Ristenpart
2165,Thomas Robinson
2166,Thomas Small
2167,Thomas Struett
2168,Thorsten Ruprechter
2169,Tiago Santos
2170,Tiago Teixeira Santos
2171,Tian Yang
2172,Tianshu Chen
2173,Tianyi Li
2174,Tiffany Lu
2175,Tiggey May
2176,Till Hoffmann
2177,Tim A Majchrzak
2178,Tim König
2179,Tim Lomas
2180,Tim Sainburg
2181,Tim Schatto-Eckrodt
2182,Tim Wulf
2183,Timofey Yalov
2184,Timoté Vaucher
2185,Tina Comes
2186,Ting-Wei Chiang
2187,Tiziano Piccardi
2188,Tobias Buchmann
2189,Tobias Giesemann
2190,Tobias Konitzer
2191,Tobias Schumacher
2192,Tobin South
2193,Tom Griffiths
2194,Tom Mcandrew
2195,Tom Murray
2196,Tomislav Duricic
2197,Tomo Ogawa
2198,Tomás Maguire
2199,Tomáš Diviák
2200,Tong Zeng
2201,Toshiya Saito
2202,Tre Tomaszewski
2203,Trisevgeni Papakonstantinou
2204,Trisha Prabhu
2205,Tristan J.B. Cann
2206,Tristan Thrush
2207,Trivik Verma
2208,Tsuhan Chen
2209,Tugrulcan Elmas
2210,Tulin Inkaya
2211,Tung-Duong Mai
2212,Tuong Manh Vu
2213,Tyler Amos
2214,Tyson Pond
2215,Ulf Bockenholt
2216,Ulrik Brandes
2217,Ulrike Hahn
2218,Ulrike Rohn
2219,Ulya Bayram
2220,Uma Maheswari Gollapudi
2221,Unchitta Kan
2222,Utkarshani Ja
2223,Vadim Voskresenskii
2224,Valdemar Danry
2225,Valentin Hartmann
2226,Valentina Semenova
2227,Valeria D'Andrea
2228,Valeria Secchini
2229,Valerie Hase
2230,Valerio Basile
2231,Vasiliki Voukelatou
2232,Vedran Sekara
2233,Vejune Zemaityte
2234,Veniamin Veselovsky
2235,Veronica Cagle
2236,Veronika Vincze
2237,Verónica Peréz-Rosas
2238,Viacheslav Shibaev
2239,Vicente Balmaseda
2240,Vicenç Gómez
2241,Vicky Chuqiao Yang
2242,Vicky Yang
2243,Victor Chen
2244,Victor Veitch
2245,Victoria Medvec
2246,Vikram Krishnamurthy
2247,Viktoria Spaiser
2248,Vincent Lariviere
2249,Vincent Larivière
2250,Vincent Rollet
2251,Vincent Traag
2252,Vitor V. Vasconcelos
2253,Vivian Yang
2254,Vjosa Preniqi
2255,Volker Seiser
2256,Vsevolod Suschevskiy
2257,Walid Magdy
2258,Walter Quattrociocchi
2259,Wan-Ying Chang
2260,Wan-ying Chang
2261,Wang Xinyue
2262,Warren Pearce
2263,Wei Ai
2264,Wei Shan
2265,Wei Zhang
2266,Weifeng Li
2267,Weisi Guo
2268,Weiyu Zhang
2269,Wen Chen
2270,Wenchao Dong
2271,Wenjun Liao
2272,Wentao Xu
2273,William Cai
2274,William Hobbs
2275,William Marks
2276,William Weisman
2277,Wim Bernasco
2278,Winson Peng
2279,Wojtek Przepiorka
2280,Wolf Schünemann
2281,Wonjae Lee
2282,Woo Jo
2283,Woo-Sung Jung
2284,Woo-sung Jung
2285,Wouter van Atteveldt
2286,Xanda Schofield
2287,Xi Chen
2288,Xi Zhang
2289,Xiancheng Li
2290,Xiang Ren
2291,Xianglong Li
2292,Xiao Yang
2293,Xiaofan Wang
2294,Xiaoheng Xia
2295,Xiaoran Sun
2296,Xiaoran Yan
2297,Xiaowen Dong
2298,Xiaoyao Yu
2299,Xiaoyu Zhang
2300,Xin Jin
2301,Xinlan Emily Hu
2302,Xinyi Wang
2303,Xinyi Zhao
2304,Xu
2305,Xuan Lu
2306,Xuanzhe Liu
2307,Xudong Yu
